id,level,title,description,link
89,N4,～ない～はない,There is not ~ that is not/does not,https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84-%E3%81%AF%E3%81%AA%E3%81%84
90,N4,すこしも～ない,"Not even a little, Not at all, Not in the least, Never",https://bunpro.jp/grammar_points/%E3%81%99%E3%81%93%E3%81%97%E3%82%82-%E3%81%AA%E3%81%84
91,N4,すくなくない,"Quite a few, Quite a lot, Many, Not a few, Not a little",https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8F%E3%81%AA%E3%81%8F%E3%81%AA%E3%81%84
92,N4,ばあいは,"In the event of, In the case of",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%82%E3%81%84%E3%81%AF
93,N4,Verb[て],Please do for me (Casual request),https://bunpro.jp/grammar_points/verb%E3%81%A6-request
94,N4,てよかった,I'm glad that,https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%88%E3%81%8B%E3%81%A3%E3%81%9F
95,N4,Verb［せる・させる］,To make/let/have (somebody do something),https://bunpro.jp/grammar_points/causative
96,N4,といってもいい,"You could say, You might say",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%82%82%E3%81%84%E3%81%84
97,N4,ても,"Even if, Even though",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82
98,N4,てしまう・ちゃう,"To do something by accident, To finish completely・totally, Unfortunately",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%97%E3%81%BE%E3%81%86-%E3%81%A1%E3%82%83%E3%81%86
99,N4,Verb[て] + B,"And・and so, Due to, Because of, Since, Conjunctive",https://bunpro.jp/grammar_points/verb%E3%81%A6-b2
100,N4,Causative-Passive,"Verbs (Causative-passive voice), To be made to do something, To be forced to do",https://bunpro.jp/grammar_points/causative-passive
101,N4,Verb[て]・Noun[で] + B,"By, With, On, By means of, ~ing with",https://bunpro.jp/grammar_points/verb-%E3%81%A6-noun-%E3%81%A7-b
102,N4,てある,"Something is done, Has been done, Remaining state",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%82%E3%82%8B
103,N4,ように～てほしい,"Want ~ to ~ like ~, Want ~ to be able to ~, Want ~ to ~ in the way of ~",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB-%E3%81%A6%E3%81%BB%E3%81%97%E3%81%84
104,N4,ているあいだに,"While, During the time that ~",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%82%E3%81%84%E3%81%A0%E3%81%AB
105,N4,なくてもいい,Don't have to,https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%82%82%E3%81%84%E3%81%84
106,N4,てみる,To try to,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%BF%E3%82%8B
107,N4,てすみません,I'm sorry for,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%99%E3%81%BF%E3%81%BE%E3%81%9B%E3%82%93
108,N4,てあげる,"To do something for someone, As a favor for",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%82%E3%81%92%E3%82%8B
109,N4,てくれる,To do something for someone (usually you),https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%82%8B
110,N4,てもらう,"To get someone to do, To have someone do",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%82%89%E3%81%86
111,N4,なさい,Command to do,https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%95%E3%81%84
112,N4,Verb[て] + B,"Non-sequence, And, But (Contrast), Parallel action/state",https://bunpro.jp/grammar_points/verb%E3%81%A6-b
113,N4,Verb[ないで],"(Please) do not (for me), Casual request",https://bunpro.jp/grammar_points/verb-%E3%81%AA%E3%81%84%E3%81%A7
114,N4,てくれてありがとう,Thank you for ~ ing,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%A6%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86
115,N4,てくれない・てもらえない,"Won't you?, Will you?, Could you?, Can you?, Would you?",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%AA%E3%81%84-%E3%81%A6%E3%82%82%E3%82%89%E3%81%88%E3%81%AA%E3%81%84
116,N4,～のだろうか,I wonder...,https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A0%E3%82%8D%E3%81%86%E3%81%8B
117,N4,お～になる,To do (Honorific),https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%AB%E3%81%AA%E3%82%8B
118,N4,なさる,To do (Honorific),https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%95%E3%82%8B
119,N4,お～ください,Please do (Honorific),https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%8F%E3%81%A0%E3%81%95%E3%81%84
120,N4,いらっしゃる,"To be (Honorific), To come (Honorific), To go (Honorific)",https://bunpro.jp/grammar_points/%E3%81%84%E3%82%89%E3%81%A3%E3%81%97%E3%82%83%E3%82%8B
121,N4,ございます,"To be, To exist (Polite)",https://bunpro.jp/grammar_points/%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99
122,N4,でございます,"To be, Polite copula",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%94%E3%81%96%E3%81%84%E3%81%BE%E3%81%99
123,N4,お〜する,"I humbly do, I am obliged to do, Humble speech",https://bunpro.jp/grammar_points/%E3%81%8A-%E3%81%99%E3%82%8B
124,N4,いたす,To do (Humble),https://bunpro.jp/grammar_points/%E3%81%84%E3%81%9F%E3%81%99
125,N4,ていただけませんか,"Won't you, Could you please (Humble request)",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%81%9F%E3%81%A0%E3%81%91%E3%81%BE%E3%81%9B%E3%82%93%E3%81%8B
126,N4,たら,"When, From when, Just when, If",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89
127,N4,ほかに(も)・ほか(に)は,"Other, Another, Any other, Anything else, As well as, Besides, In addition",https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%8B%E3%81%AB%E3%82%82-%E3%81%BB%E3%81%8B%E3%81%AB%E3%81%AF
128,N4,がひつよう,"Need, Necessary",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%B2%E3%81%A4%E3%82%88%E3%81%86
129,N4,そんなに,"So (much), That much, Like that",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%AB
130,N4,ひつようがある,It is necessary to,https://bunpro.jp/grammar_points/%E3%81%B2%E3%81%A4%E3%82%88%E3%81%86%E3%81%8C%E3%81%82%E3%82%8B
131,N4,たとえば,For example,https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%88%E3%81%B0
132,N4,れる・られる (Potential),"To be able, Can (Potential)",https://bunpro.jp/grammar_points/Verb%5Bpotential%5D
133,N4,んだけど・んですが,"But..., And...",https://bunpro.jp/grammar_points/%E3%82%93%E3%81%A0%E3%81%91%E3%81%A9-%E3%82%93%E3%81%A7%E3%81%99%E3%81%8C
134,N4,はずだ,"Bound to (be), Expected to (be), Should be (able)",https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%A0
135,N4,かどうか,"Whether or not, If...or not",https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%A9%E3%81%86%E3%81%8B
136,N4,と,"If, When, Whenever, And, [Conditional]",https://bunpro.jp/grammar_points/%E3%81%A8-conditional
137,N4,ないと,"Must, Have to",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A8
138,N4,はずがない,"Hardly possible, Cannot be, Highly unlikely, Improbable",https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%8C%E3%81%AA%E3%81%84
139,N4,しか～ない,"There's only, Nothing but",https://bunpro.jp/grammar_points/%E3%81%97%E3%81%8B-%E3%81%AA%E3%81%84
140,N4,だけでなく,Not only… but also,https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7%E3%81%AA%E3%81%8F
141,N4,ことができる,"Can, Be able to",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B
142,N4,かい,Question marker,https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%84
143,N4,もし,If (For emphasis),https://bunpro.jp/grammar_points/%E3%82%82%E3%81%97
144,N4,し～し,"And, Giving reasons",https://bunpro.jp/grammar_points/%E3%81%97-%E3%81%97
145,N4,でできる・からできる,"Made of, Made from, Produced from, Come from",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%A7%E3%81%8D%E3%82%8B-%E3%81%8B%E3%82%89%E3%81%A7%E3%81%8D%E3%82%8B
146,N4,ながら,"While ~ing, During, As",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8C%E3%82%89
147,N4,たところだ,"Just finished doing, Was just doing",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0
148,N4,ているところだ,In the process of doing ~ right now/at this moment,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0
149,N4,と～と、どちらが,Between ~ which one,https://bunpro.jp/grammar_points/%E3%81%A8-%E3%81%A8-%E3%81%A9%E3%81%A1%E3%82%89%E3%81%8C
150,N4,ようにする,"To try to, To make sure to, To endeavor to",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%99%E3%82%8B
151,N4,なければいけない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%84%E3%81%91%E3%81%AA%E3%81%84
152,N4,なければならない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84
153,N4,つづける,To continue,https://bunpro.jp/grammar_points/%E3%81%A4%E3%81%A5%E3%81%91%E3%82%8B
154,N4,ようにいう,"To tell, request, or order to do (in such a way)",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%86
155,N4,よていだ,"Plan to, Intend to",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%A6%E3%81%84%E3%81%A0
156,N4,ようにいのる,"Pray that/for, Hope that/for, Keep fingers crossed that",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%AE%E3%82%8B
157,N4,たばかり,"Just did, Something just happened",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%B0%E3%81%8B%E3%82%8A
158,N4,化する,"-ification, -ization, To make something, To change, To become, Transform into",https://bunpro.jp/grammar_points/%E5%8C%96%E3%81%99%E3%82%8B
159,N4,命令形,"(Verb)!, Do (something)!",https://bunpro.jp/grammar_points/%E5%91%BD%E4%BB%A4%E5%BD%A2
160,N4,ように,"So that, In order to, In such a way that",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB
161,N4,かしら,I wonder,https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%97%E3%82%89
162,N4,らしい ②,"typical of, -ish・like, appropriate for, becoming of, befitting",https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%842
163,N4,にみえる,"To look, To seem, To appear",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%BF%E3%81%88%E3%82%8B
164,N4,とみえる,"It seems that, It can be deduced, One can conclude that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%BF%E3%81%88%E3%82%8B
165,N4,風,"-style, Way, Fashion",https://bunpro.jp/grammar_points/%E9%A2%A8
166,N4,がみられる,"Can see, Can be seen, Can observe, Can be observed, Be evident, Chance to see something",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%BF%E3%82%89%E3%82%8C%E3%82%8B
167,N4,にきがつく,"To notice (that), To realize (that)",https://bunpro.jp/grammar_points/%E3%81%AB%E3%81%8D%E3%81%8C%E3%81%A4%E3%81%8F
168,N4,〜でも 〜でも,"Whether ~ or, Neither ~ or",https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%82-%E3%81%A7%E3%82%82
169,N4,それに,"And, Besides, Moreover, In addition",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%AB
170,N4,それで,"Because of that, So?, And then?, Therefore, With that",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%A7
171,N4,Question-phrase + か,Including questions within sentences,https://bunpro.jp/grammar_points/question-phrase-%E3%81%8B
172,N4,それでも,"But still, And yet, Even so, Nevertheless",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%A7%E3%82%82
173,N4,たらどう,"Why don't you...?, What if you did...?",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89%E3%81%A9%E3%81%86
174,N4,とかんがえられている,"Is considered, Is thought of as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8B%E3%82%93%E3%81%8C%E3%81%88%E3%82%89%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B
175,N4,とされている,"To be considered, To be deemed, Be regarded as, Be accepted as, To be said, To be accredited with",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%95%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B
176,N4,といわれている,"It is said that, Is known as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%82%8F%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B
177,N4,ばよかった,"Should have, I wish, It would have been better to",https://bunpro.jp/grammar_points/%E3%81%B0%E3%82%88%E3%81%8B%E3%81%A3%E3%81%9F
